DIVISION_NAME,DEPARTMENT_NAME,ART_SV_NAME,BARCODE,UOM,END_QTY,NORMAL_COST
02 HOME LINE,0220 HOME DECOR,เซร่า ปิกนิก เซเลน่า คูล 3F,2000008622813,pc,2,1089
02 HOME LINE,0240 HOME IMPROVEMEN,PANASONICถ่านแมงกานีสAAAPACK 8,8887549781131,pc,10,90
06 PHARMACY,0620 OVER THE COUNTER,P_ENO ส้ม ซอง 4.3 กรัม,8850615100129,,59,11.11
06 PHARMACY,0620 OVER THE COUNTER,P_THROATSIL ORANGE 8 'S,8855459002226,,2,12.795
04 DRY FOOD,0461 FACE & COSMETICS,ฮาดะ ลาโบะ แอนไท-เอจจิ้ง โลชั่น 30มล.,8851520092349,mL,4,104.33
04 DRY FOOD,0410 SWEETED GROCE.1,เซสท์โกลเนยเทียมกลิ่นเนยสด1กก,8850581312021,kg,6,74.741
04 DRY FOOD,0461 FACE & COSMETICS,นูโทรจีนา ดีพ คลีนไบรท์150ก.,8801108001393,g,19,160.46
04 DRY FOOD,0430 SALTED GROCERY,HPPเกล็ดขนมปังชุบทอด200ก.,8850297502181,g,11,14
04 DRY FOOD,0470 HOUSEHOLD,บรีสเอกเซลแอคทีฟเฟรช 1150กรัม,8851932415361,g,13,132.72
04 DRY FOOD,0461 FACE & COSMETICS,ฮาดะลาโบะ เอจจิ้ง แคร์ 14 กรัม,8851520004601,g,7,118.46
04 DRY FOOD,0470 HOUSEHOLD,เปาผงซักฟอกเครื่อง 9000ก.,8850002016309,g,4,394.66
04 DRY FOOD,0472 PAPER,BHP กระดาษเช็ดหน้ากล่อง105แผ่น,8850046338634,sh,80,11.85
04 DRY FOOD,0460 HBA,โรจูคิสสบู่กลูต้าซีเซรั่ม30*4,8858851437771,g,16,47.07
04 DRY FOOD,0461 FACE & COSMETICS,ดิอินกรีเดียนส์ กันแดดกระจก 7ก,8859701311258,g,40,33.636
05 FRESH FOOD,0530 PRODUCE,ต้นตะวันสาหร่ายทะเล12กรัม,8851583002286,g,9,22
04 DRY FOOD,0410 SWEETED GROCE.1,WBPมอคโคน่า ริชแอนด์สมูท P60,8851753099061,g,0,252.01
06 PHARMACY,0610 PRESCRIPTION,P_ALLORA 5 1X10S,8853935019805,pc,3,102.8
04 DRY FOOD,0430 SALTED GROCERY,ซีเล็คโกลด์แมคเคอเรลในซอส90ก,8850468209123,g,11,30.896
04 DRY FOOD,0470 HOUSEHOLD,แวนิชลิควิดคริสตัลไวท์ 800มล.,8851198935207,mL,5,115.2
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,ตราช้างมุมมันสเปคตรัมมินิHC121,8851907112295,pc,6,50.2
04 DRY FOOD,0410 SWEETED GROCE.1,ไมโลแอคทิฟ-โก3อิน1 23G แพ็ค 13,8850127009330,g,85,91.615
04 DRY FOOD,0420 SWEETED GROCE.2,WBPเลย์ร็อครสเกลือ 25ก P6,8850718703494,g,9,44.837
04 DRY FOOD,0440 BEVERAGE,แลคตาซอยช็อคโกแลต500มล.,8850267112235,mL,12,11.558
02 HOME LINE,0210 HOUSEWARE,BESช้อนชาสแตนเลส เบอร์ 24,8859426099820,pc,47,9.13
06 PHARMACY,0630 WELL BEING,P_MORเรตินอล เซรา โฟม100ก,8857127990415,g,9,27.67
04 DRY FOOD,0420 SWEETED GROCE.2,WBPทาโร่รสซุปเปอร์แซบ 20ก P6,8852044598119,g,8,91
04 DRY FOOD,0410 SWEETED GROCE.1,แบรนด์ซุปไก่แปะก๊วยโสม70มลX12,8852001312567,cc,6,662.116
04 DRY FOOD,0461 FACE & COSMETICS,MBL ซุปเปอร์สเตย์ เฟลกส์ 119,6902395977261,g,3,253.577
02 HOME LINE,0250 STATIONERY & EDUTAINMENT,ไม้บรรทัดพลาสติก 30 CM KUR12,8856602093030,pc,11,16
02 HOME LINE,0230 RECREATION,TVF กป.เป้โน๊ตบุ๊ค PSC2302 ดำ,2000008466387,pc,3,440
04 DRY FOOD,0460 HBA,ยาสีฟัน เซ็นโซดายน์ มัลติแคร์ 160 กรัม,8851007198038,g,41,152.996
04 DRY FOOD,0461 FACE & COSMETICS,ZENDORIแป้งเอ็กตร้า SPF30#01,8853204105215,pc,8,57.42
04 DRY FOOD,0420 SWEETED GROCE.2,WBPเทสโตหยักบาร์บีคิว 42ก P6,8851004401063,g,10,91.422
04 DRY FOOD,0470 HOUSEHOLD,โปรปรับผ้านุ่มฟอเรสอโรม่า450มล,8850002036635,mL,38,8.33
06 PHARMACY,0670 VITAMINS AND SUPPLEMENTS,P_MEGA แนท แมก  30 แคปซูล,8850769022155,pc,3,176.63
04 DRY FOOD,0470 HOUSEHOLD,ซันไลต์ พลัส เนเจอร์ 450มล.,8851932388672,mL,22,28.215
02 HOME LINE,0220 HOME DECOR,LF โต๊ะญี่ปุ่นกลม บราวน์ 60X60,8851258053766,pc,2,130
04 DRY FOOD,0420 SWEETED GROCE.2,ทาโรน้ำจิ้มปลาหมึก เผ็ดมาก18ก,8852044389717,g,28,16.853
