Site,Structure,Root Code,SV,Saleable,Barcode,Description,Barcode Component,SV,Description Component,Quantity,Saleable
11252,41040,102823031,1,Y ,8858769704071,แยมน้ำตาลน้อยสตอเบอรี่125ก P24 ,8858769701483,0,EXCแยมน้ำตาลน้อย สตอเบอรี่125ก ,24,N 
11252,41040,102823032,1,Y ,8858769704088,แยมน้ำตาลน้อย ส้ม 125ก.P24 ,8858769701490,0,EXC แยมน้ำตาลน้อย ส้ม 125ก. ,24,N 
11252,41040,102823033,1,Y ,8858769704095,แยมน้ำตาลน้อย บลู&สตอเบอรี่P24 ,8858769701506,0,EXCแยมน้ำตาลน้อย บลู&สตอเบอรี่ ,24,N 
11252,41040,103026751,1,Y ,18850332192343,อิมพีเรียลแป้งแพนเค้ก800ก.P10 ,8850332192346,0,อิมพีเรียลแป้งแพนเค้กมิกซ์800ก ,10,N 
11252,41040,103178356,1,Y ,8854599006613,BP_HPPน้ำผึ้งดอกลำไย130กรัมP6 ,8854599006590,0,HPPน้ำผึ้งดอกลำไย 130กรัม ,6,Y 
11252,41050,100669030,1,Y ,8853333001341,BPลำไยมาลี6OZ.P6(M) ,8853333000535,0,มาลีลำใย6ออนซ์ ,6,Y 
11252,41050,102172710,1,Y ,8850134905076,BIGCเงาะในน้ำเชื่อม565กรัม P24 ,8850134106176,0,BIGC เงาะในน้ำเชื่อม565กรัม ,24,N 
11252,41050,102210634,1,Y ,18859505011047,BIGCลำไยในน้ำเชื่อม565กรัม P24 ,8859505011040,0,BIGC ลำไยในน้ำเชื่อม565กรัม ,24,N 
11252,41050,102297619,1,N ,18859505010040,BIGCลิ้นจี่ในน้ำเชื่อม565ก P24 ,8859505010043,0,BIGCลิ้นจี่ในน้ำเชื่อม565กรัม ,24,N 
11252,41060,100521708,1,N ,18851359702041,BP ดูแลค 575ก.P12 ,8851359700835,0,ดูเม็กซ์ ดูแลค 550ก ,12,Y 
11252,41060,100521709,1,N ,18851359702010,BPดูโปรDHA&ARA550G.P12 ,8851359700842,0,ดูเม็กซ์ ดูโปร 550ก ,12,Y 
11252,41060,100646977,1,N ,18851359702171,ไฮคิว พรีไบโอสูตร3จืด 550กP12 ,8851359700729,0,ไฮคิวพรีไบโอโพรเทก3 550 ,12,Y 
11252,41060,100710219,1,N ,18851359700856,BPดูมิลค์ 1พลัส จืด 550กP12 ,8851359700859,0,ดูมิลค์ 1พลัส จืด 550ก ,12,Y 
11252,41060,100752283,1,N ,18851005060068,BP S-26นมทารกเอสเอ็มเอ600กP12 ,8851005070060,0,S26 โปรเกรส 3 500กรัม ,12,Y 
11252,41060,100779377,1,N ,18851359705004,BPไฮคิว1-600ก. กระป๋องP12 ,8851359705007,0,ไฮคิวพรีไบโอโพรเทก1 550 ,12,Y 
11252,41060,100779398,1,N ,18851359705028,BPไฮคิว2-600ก.กระป๋องP12 ,8851359705021,0,ไฮคิวพรีไบโอโพรเทก2 550 ,12,Y 
11252,41060,100781633,1,N ,28851359701713,BPดูเม็กซ์ ดูแลค 250ก.P12 ,8851359910111,0,ดูเม็กซ์ ดูแลค 250ก ,12,Y 
11252,41060,100781646,1,N ,28851359701737,BP ดูเม็กซ์ ดูโปร 250ก.P12 ,8851359950117,0,ดูเม็กซ์ ดูโปร 250ก ,12,Y 
11252,41060,100803302,1,N ,18851005020147,BP S-26นมทารกเอสเอ็มเอ600กP12 ,8851005020140,0,S26 เอสเอ็มเอ1 500กรัม ,12,Y 
11252,41060,100803306,1,N ,18851005050038,BP S-26โปรมิลนมเด็กเล็ก350กP12 ,8851005050031,0,S26 โปรมิล 2 200กรัม ,12,N 
